name,price,shipping,free_returns,items_sold,item_status
New ListingGarmin GPSMAP 64st GPS Handheld Hiking Navigator,10100,1710,False,,Pre-Owned
Garmin Fenix 7X Sapphire Solar Multisport Smartwatch Black DLC Titanium ,99999,0,True,0,Brand New
"Garmin Forerunner 45 GPS Smartwatch, 42mm, Fiber-Reinforced Polymer - Black",9999,0,False,,Pre-Owned
Garmin Fenix 6 Multisport GPS Watch Silver with Black Band ,25999,0,True,,Pre-Owned
Garmin Instinct Solar Rugged GPS Smartwatch - Graphite 010-02293-10 READ,9999,0,True,0,Pre-Owned
"Garmin Forerunner 45S, 39mm Easy-to-use GPS Running Watch White",8200,550,False,,Pre-Owned
"New Listing*NEW* Garmin DriveSmart 65 6.95"" GPS System with Real-Time Traffic 010-02038-02",15999,0,True,0,Brand New
Garmin Fenix 6S Pro Premium Black Metal Case with Black Silicone Band Multisport,19600,1115,False,,Pre-Owned
Garmin Venu Sq GPS Watch - Shadow Gray/Slate Comes With Charger.,3800,590,False,,Pre-Owned
Garmin Forerunner 245 Music GPS Smartwatch - White ,15999,0,True,,Pre-Owned
New ListingGarmin tactix 7 Pro Ballistics Edition GPS Watch - Black,130000,0,False,,Brand New
Garmin Fenix 6 Pro Premium Multisport GPS Watch Black 010-02158-01,27999,0,True,0,Pre-Owned
Garmin Instinct Charger Replacement Charging Cable Cord USB,699,0,True,,Brand New
Garmin eTrex 10 Handheld GPS Receiver Navigator,8990,0,False,0,Pre-Owned
Garmin HRM-Dual Heart Rate Monitor Fitness Strap,2990,0,False,84,Pre-Owned
Garmin Epix Gen 2 Smartwatch - Black (010-02582-10),52000,0,False,,Pre-Owned
